Categoria,N,R²_Média,R²_Std,R²_Mín,R²_Máx,MSE_Média,MSE_Std
Completo_Sem_Clustering,240,0.14478504364054764,0.017631342912401444,0.1009996249225676,0.1808061854595288,8.585171588240703e-07,1.769942201179852e-08
Completo_Com_Clustering,240,0.14490175045829806,0.01713664821401257,0.1115396887496247,0.1807427561771829,8.58400001371613e-07,1.7202817171356926e-08
Reduzido_Sem_Clustering,240,0.14233262436332048,0.01070821934808927,0.1231595613530728,0.1694655825729434,1.0317177756529004e-06,1.2881287735601176e-08
Reduzido_Com_Clustering,240,0.14226596197401625,0.011190505330260926,0.1222651783060776,0.170868293677915,1.0317979661486173e-06,1.3461446238640125e-08
