Categoria,N,R²_Média,R²_Std,R²_Mín,R²_Máx,MSE_Média,MSE_Std
Completo_Sem_Clustering,810,0.1483934947334458,0.03668265405902025,0.0604365614743978,0.2050812905208183,8.548947745837176e-07,3.6824295116325964e-08
Completo_Com_Clustering,810,0.15231661304231456,0.035697673903718634,0.0489938577911265,0.2078266446831042,8.509565081172398e-07,3.583551170212173e-08
Reduzido_Sem_Clustering,810,0.12050336023544063,0.03259989852624664,0.022992794644966,0.1716982038854939,1.057976953126495e-06,3.921554643376951e-08
Reduzido_Com_Clustering,810,0.12097603838399254,0.033561800137975516,0.0179806660712078,0.1770205667678905,1.0574083522191076e-06,4.0372651180249066e-08
