"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"São José do Herval (RS)","RS","8","2.115","378,3"
"Palminópolis (GO)","GO","13","3.437","378,2"
"Silveirânia (MG)","MG","8","2.123","376,8"
"Rondon (PR)","PR","33","8.802","374,9"
"Cerro Negro (SC)","SC","13","3.474","374,2"
"São Jorge do Ivaí (PR)","PR","20","5.352","373,7"
"Ramilândia (PR)","PR","15","4.019","373,2"
"Rolador (RS)","RS","9","2.412","373,1"
"Divina Pastora (SE)","SE","16","4.289","373,0"
"Flórida Paulista (SP)","SP","47","12.618","372,5"
"Senador Firmino (MG)","MG","26","6.992","371,9"
"Igaci (AL)","AL","92","24.851","370,2"
"Pirenópolis (GO)","GO","83","22.457","369,6"
"Santanópolis (BA)","BA","31","8.429","367,8"
"Palmeira d'Oeste (SP)","SP","34","9.301","365,6"
"Campestre (MG)","MG","73","19.974","365,5"
"Tauá (CE)","CE","200","54.885","364,4"
"Alvorada do Norte (GO)","GO","29","7.977","363,5"
"Alvinópolis (MG)","MG","54","14.871","363,1"
"Duas Estradas (PB)","PB","13","3.586","362,5"
"Cantagalo (RJ)","RJ","70","19.314","362,4"
"Imbaú (PR)","PR","40","11.043","362,2"
"Lavras do Sul (RS)","RS","27","7.456","362,1"
"São Félix de Minas (MG)","MG","12","3.315","362,0"
"São João (PR)","PR","37","10.224","361,9"
"São Fidélis (RJ)","RJ","132","36.482","361,8"
"Iúna (ES)","ES","97","26.973","359,6"
"Armazém (SC)","SC","27","7.517","359,2"
"São Sebastião do Alto (RJ)","RJ","31","8.636","359,0"
"Nossa Senhora de Nazaré (PI)","PI","16","4.462","358,6"
"Ichu (BA)","BA","21","5.862","358,2"
"Resende Costa (MG)","MG","38","10.618","357,9"
"Rosário Oeste (MT)","MT","61","17.049","357,8"
"Itaguajé (PR)","PR","16","4.485","356,7"
"Itá (SC)","SC","22","6.180","356,0"
"Quitandinha (PR)","PR","59","16.639","354,6"
"Córrego do Ouro (GO)","GO","9","2.539","354,5"
"Nova Olímpia (PR)","PR","19","5.370","353,8"
"Água Branca (AL)","AL","68","19.226","353,7"
"Mucambo (CE)","CE","49","13.869","353,3"
"Jandaia (GO)","GO","21","5.970","351,8"
"Tamboara (PR)","PR","16","4.556","351,2"
"Alagoa Nova (PB)","PB","68","19.583","347,2"
"Rio das Flores (RJ)","RJ","29","8.370","346,5"
"Miguel Calmon (BA)","BA","91","26.344","345,4"
"São Manoel do Paraná (PR)","PR","7","2.028","345,2"
"Sete de Setembro (RS)","RS","7","2.033","344,3"
"Bom Jardim de Goiás (GO)","GO","28","8.155","343,3"
"Cristina (MG)","MG","34","9.911","343,1"
"Campanário (MG)","MG","12","3.510","341,9"
"Rodeiro (MG)","MG","23","6.730","341,8"
"Santo Antônio da Platina (PR)","PR","142","41.652","340,9"
"Jacinto Machado (SC)","SC","35","10.268","340,9"
"Itanhandu (MG)","MG","47","13.819","340,1"
"Nossa Senhora das Graças (PR)","PR","13","3.832","339,2"
"Itambé (BA)","BA","85","25.089","338,8"
"Ubaitaba (BA)","BA","69","20.382","338,5"
"Campo Maior (PI)","PI","151","44.620","338,4"
"Caém (BA)","BA","35","10.363","337,7"
"Porto Barreiro (PR)","PR","12","3.559","337,2"
"Miracema (RJ)","RJ","88","26.205","335,8"
"Triunfo (RS)","RS","84","25.079","334,9"
"Central de Minas (MG)","MG","22","6.581","334,3"
"Monte Alegre dos Campos (RS)","RS","10","2.995","333,9"
"Marumbi (PR)","PR","15","4.493","333,9"
"Altos (PI)","PI","128","38.460","332,8"
"Brazópolis (MG)","MG","47","14.167","331,8"
"Rinópolis (SP)","SP","32","9.661","331,2"
"Lagoa dos Gatos (PE)","PE","51","15.432","330,5"
"Valença do Piauí (PI)","PI","66","20.080","328,7"
"Vicentina (MS)","MS","19","5.791","328,1"
