"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Aracitaba (MG)","MG","3","1.962","152,9"
"Tremedal (BA)","BA","27","17.660","152,9"
"Ponto dos Volantes (MG)","MG","17","11.130","152,7"
"Almenara (MG)","MG","58","38.003","152,6"
"Igreja Nova (AL)","AL","35","22.934","152,6"
"Torixoréu (MT)","MT","6","3.933","152,6"
"Aimorés (MG)","MG","37","24.282","152,4"
"Vitória das Missões (RS)","RS","5","3.282","152,3"
"Amargosa (BA)","BA","52","34.146","152,3"
"Palestina de Goiás (GO)","GO","5","3.285","152,2"
"Nova Venécia (ES)","ES","69","45.339","152,2"
"Pedras de Fogo (PB)","PB","41","26.953","152,1"
"Novo Horizonte (SC)","SC","4","2.632","152,0"
"Parambu (CE)","CE","47","30.946","151,9"
"Tupi Paulista (SP)","SP","21","13.828","151,9"
"Central (BA)","BA","25","16.470","151,8"
"Campo Novo (RS)","RS","8","5.277","151,6"
"Pinhão (PR)","PR","45","29.685","151,6"
"Itaguaru (GO)","GO","8","5.282","151,5"
"Monsenhor Hipólito (PI)","PI","11","7.269","151,3"
"Corumbaíba (GO)","GO","12","7.932","151,3"
"Itatiba do Sul (RS)","RS","6","3.967","151,2"
"Pedras Grandes (SC)","SC","6","3.970","151,1"
"São José do Hortêncio (RS)","RS","6","3.971","151,1"
"São Pedro do Ivaí (PR)","PR","15","9.929","151,1"
"Morrinhos (GO)","GO","61","40.380","151,1"
"Assaí (PR)","PR","24","15.890","151,0"
"Mãe do Rio (PA)","PA","42","27.818","151,0"
"Roteiro (AL)","AL","10","6.624","151,0"
"Planalto (BA)","BA","36","23.847","151,0"
"Brejo do Piauí (PI)","PI","6","3.976","150,9"
"Antônio Gonçalves (BA)","BA","16","10.611","150,8"
"Canarana (BA)","BA","36","23.897","150,6"
"Turvânia (GO)","GO","7","4.650","150,5"
"São Fernando (RN)","RN","5","3.322","150,5"
"Leopoldo de Bulhões (GO)","GO","11","7.314","150,4"
"Mairi (BA)","BA","28","18.625","150,3"
"São José do Rio Pardo (SP)","SP","76","50.582","150,3"
"Lapa (PR)","PR","66","43.943","150,2"
"Guaxupé (MG)","MG","72","47.981","150,1"
"Mulungu do Morro (BA)","BA","19","12.669","150,0"
"Arroio Trinta (SC)","SC","5","3.334","150,0"
"Caroebe (RR)","RR","12","8.009","149,8"
"Prado Ferreira (PR)","PR","5","3.339","149,7"
"Macatuba (SP)","SP","24","16.029","149,7"
"Grupiara (MG)","MG","2","1.336","149,7"
"Salesópolis (SP)","SP","23","15.365","149,7"
"Nazaré Paulista (SP)","SP","24","16.039","149,6"
"Lagoa Vermelha (RS)","RS","40","26.749","149,5"
"Araçuaí (MG)","MG","53","35.444","149,5"
"Sant'Ana do Livramento (RS)","RS","120","80.266","149,5"
"Lamim (MG)","MG","5","3.346","149,4"
"Martins (RN)","RN","12","8.033","149,4"
"Nobres (MT)","MT","22","14.728","149,4"
"Esperantina (TO)","TO","14","9.373","149,4"
"Sirinhaém (PE)","PE","60","40.215","149,2"
"Águas da Prata (SP)","SP","11","7.373","149,2"
"Rio Branco do Sul (PR)","PR","45","30.163","149,2"
"Itarantim (BA)","BA","27","18.103","149,1"
"Piraí (RJ)","RJ","38","25.517","148,9"
"Vera Cruz do Oeste (PR)","PR","13","8.733","148,9"
"Itobi (SP)","SP","11","7.394","148,8"
"Nova União (RO)","RO","11","7.399","148,7"
"Conceição do Coité (BA)","BA","90","60.570","148,6"
"Santo Antônio do Itambé (MG)","MG","6","4.039","148,6"
"Gurupi (TO)","TO","113","76.070","148,5"
"Pedro Canário (ES)","ES","35","23.563","148,5"
"Medeiros Neto (BA)","BA","32","21.549","148,5"
"Santo Antônio das Missões (RS)","RS","16","10.778","148,5"
"Itatuba (PB)","PB","15","10.115","148,3"
"Tesouro (MT)","MT","5","3.372","148,3"
"Altaneira (CE)","CE","10","6.745","148,3"
"Maracás (BA)","BA","36","24.285","148,2"
"São Domingos do Prata (MG)","MG","25","16.869","148,2"
"Francisco Sá (MG)","MG","36","24.335","147,9"
"Dolcinópolis (SP)","SP","3","2.028","147,9"
"Manduri (SP)","SP","13","8.789","147,9"
"São Francisco (SP)","SP","4","2.705","147,9"
"São Jorge (RS)","RS","4","2.706","147,8"
"Porto Nacional (TO)","TO","72","48.711","147,8"
"Andradina (SP)","SP","80","54.154","147,7"
"Tupiratins (TO)","TO","3","2.034","147,5"
"São João do Pau d'Alho (SP)","SP","3","2.035","147,4"
"Primavera (PA)","PA","15","10.180","147,3"
"Oliveira Fortes (MG)","MG","3","2.037","147,3"
"Lajeado (TO)","TO","4","2.717","147,2"
"Porto Esperidião (MT)","MT","16","10.872","147,2"
"Tiradentes (MG)","MG","10","6.796","147,1"
"Luiz Alves (SC)","SC","15","10.194","147,1"
"Salgueiro (PE)","PE","83","56.414","147,1"
"Peçanha (MG)","MG","25","16.993","147,1"
"Zabelê (PB)","PB","3","2.040","147,1"
"Pompéu (MG)","MG","42","28.600","146,9"
"São José dos Ramos (PB)","PB","8","5.448","146,8"
"Raul Soares (MG)","MG","34","23.158","146,8"
"Irineópolis (SC)","SC","15","10.221","146,8"
"Florânia (RN)","RN","14","9.543","146,7"
"Lima Duarte (MG)","MG","23","15.683","146,7"
"Anastácio (MS)","MS","34","23.192","146,6"
"São Raimundo Nonato (PI)","PI","47","32.060","146,6"
"Capitão Andrade (MG)","MG","7","4.779","146,5"
"Vila Bela da Santíssima Trindade (MT)","MT","21","14.338","146,5"
"Amparo (PB)","PB","3","2.049","146,4"
"Dezesseis de Novembro (RS)","RS","4","2.733","146,4"
"Espírito Santo do Pinhal (SP)","SP","60","41.010","146,3"
"Vidal Ramos (SC)","SC","9","6.152","146,3"
"João Ramalho (SP)","SP","6","4.102","146,3"
"Selbach (RS)","RS","7","4.787","146,2"
"Ivorá (RS)","RS","3","2.052","146,2"
"Itaiópolis (SC)","SC","29","19.850","146,1"
"Monções (SP)","SP","3","2.054","146,1"
"Deputado Irapuan Pinheiro (CE)","CE","13","8.903","146,0"
"Doutor Pedrinho (SC)","SC","5","3.426","145,9"
"Santo Antônio do Palma (RS)","RS","3","2.056","145,9"
"Coimbra (MG)","MG","10","6.855","145,9"
"Coaraci (BA)","BA","30","20.572","145,8"
"Acreúna (GO)","GO","29","19.897","145,8"
"Goianira (GO)","GO","49","33.653","145,6"
"Rochedo de Minas (MG)","MG","3","2.061","145,6"
"Lourdes (SP)","SP","3","2.061","145,6"
"Jupiá (SC)","SC","3","2.062","145,5"
"Oliveira (MG)","MG","56","38.493","145,5"
"Bariri (SP)","SP","45","30.954","145,4"
"Santa Maria da Vitória (BA)","BA","57","39.233","145,3"
"São Martinho (RS)","RS","8","5.508","145,2"
"Riachinho (TO)","TO","6","4.131","145,2"
"Cacoal (RO)","RO","113","77.844","145,2"
"Jerônimo Monteiro (ES)","ES","16","11.023","145,2"
"Santa Salete (SP)","SP","2","1.378","145,1"
"Igarapava (SP)","SP","40","27.575","145,1"
"Conselheiro Lafaiete (MG)","MG","165","113.756","145,0"
"Herval d'Oeste (SC)","SC","30","20.692","145,0"
"Erval Seco (RS)","RS","11","7.588","145,0"
"Itaú de Minas (MG)","MG","21","14.509","144,7"
"Teresina (PI)","PI","1.171","809.192","144,7"
"Serra do Salitre (MG)","MG","15","10.368","144,7"
"Santa Maria de Itabira (MG)","MG","15","10.369","144,7"
"Irapuru (SP)","SP","11","7.608","144,6"
"Goioerê (PR)","PR","41","28.368","144,5"
"Sertanópolis (PR)","PR","22","15.224","144,5"
"Santana do Araguaia (PA)","PA","81","56.072","144,5"
"Jequeri (MG)","MG","18","12.470","144,3"
"Rio do Pires (BA)","BA","16","11.086","144,3"
"São José do Egito (PE)","PE","45","31.181","144,3"
"Cachoeira de Goiás (GO)","GO","2","1.386","144,3"
"Américo de Campos (SP)","SP","8","5.549","144,2"
"Santa Juliana (MG)","MG","16","11.103","144,1"
"Israelândia (GO)","GO","4","2.776","144,1"
"Verdejante (PE)","PE","13","9.027","144,0"
"Mendes (RJ)","RJ","25","17.361","144,0"
"São Gonçalo (RJ)","RJ","1.406","976.871","143,9"
"Valente (BA)","BA","35","24.332","143,8"
"Guiricema (MG)","MG","12","8.354","143,6"
"Águas Formosas (MG)","MG","26","18.117","143,5"
"Jardim Olinda (PR)","PR","2","1.394","143,5"
"Rondon do Pará (PA)","PA","67","46.722","143,4"
"Terra Roxa (SP)","SP","12","8.373","143,3"
"São João do Oriente (MG)","MG","11","7.677","143,3"
"Laranjal (PR)","PR","9","6.282","143,3"
"Paraisópolis (MG)","MG","27","18.847","143,3"
"Aldeias Altas (MA)","MA","34","23.743","143,2"
"Água Preta (PE)","PE","47","32.839","143,1"
"São Pedro do Iguaçu (PR)","PR","9","6.290","143,1"
"Guaranésia (MG)","MG","26","18.173","143,1"
"Pocinhos (PB)","PB","24","16.794","142,9"
"Sericita (MG)","MG","10","7.000","142,9"
"Morro Grande (SC)","SC","4","2.800","142,9"
"Santo Antônio de Jesus (BA)","BA","129","90.331","142,8"
"Santa Cruz de Minas (MG)","MG","11","7.721","142,5"
"Alto Paraná (PR)","PR","19","13.341","142,4"
"Capinzal do Norte (MA)","MA","15","10.541","142,3"
"Barra do Bugres (MT)","MT","44","30.950","142,2"
"Caiçara (PB)","PB","10","7.035","142,1"
"Ibaiti (PR)","PR","40","28.146","142,1"
"Senhor do Bonfim (BA)","BA","103","72.486","142,1"
"Grão Mogol (MG)","MG","21","14.780","142,1"
"Itaqui (RS)","RS","53","37.306","142,1"
"Matinhas (PB)","PB","6","4.224","142,0"
"Redenção (PA)","PA","107","75.360","142,0"
"Jardim de Piranhas (RN)","RN","19","13.389","141,9"
"Goianésia (GO)","GO","83","58.505","141,9"
"Bom Sucesso de Itararé (SP)","SP","5","3.526","141,8"
"São João de Pirabas (PA)","PA","29","20.452","141,8"
"Itaverava (MG)","MG","8","5.648","141,6"
"Aroazes (PI)","PI","8","5.648","141,6"
"São Sebastião do Caí (RS)","RS","32","22.597","141,6"
"Ronda Alta (RS)","RS","14","9.888","141,6"
"Monte Alegre (PA)","PA","78","55.093","141,6"
"Alto Feliz (RS)","RS","4","2.826","141,5"
"São Sebastião do Tocantins (TO)","TO","6","4.240","141,5"
"São Benedito do Rio Preto (MA)","MA","25","17.667","141,5"
"Posse (GO)","GO","44","31.130","141,3"
"Bocaina (PI)","PI","6","4.247","141,3"
"Nilo Peçanha (BA)","BA","18","12.749","141,2"
"Estância Velha (RS)","RS","59","41.793","141,2"
"Cristalândia (TO)","TO","10","7.091","141,0"
"Santa Luzia (BA)","BA","19","13.482","140,9"
"Medina (MG)","MG","29","20.579","140,9"
"Central do Maranhão (MA)","MA","11","7.813","140,8"
"Novo Oriente do Piauí (PI)","PI","9","6.395","140,7"
"Jussara (BA)","BA","21","14.929","140,7"
"Munhoz de Melo (PR)","PR","5","3.556","140,6"
"Berilo (MG)","MG","17","12.091","140,6"
"Vila Pavão (ES)","ES","12","8.539","140,5"
"Igaporã (BA)","BA","21","14.945","140,5"
"Três Barras (SC)","SC","25","17.794","140,5"
"Crissiumal (RS)","RS","19","13.528","140,4"
"Miguel Alves (PI)","PI","45","32.050","140,4"
"Marmeleiro (PR)","PR","19","13.533","140,4"
"Taguaí (SP)","SP","15","10.685","140,4"
"Aracoiaba (CE)","CE","35","24.971","140,2"
"Cabrália Paulista (SP)","SP","6","4.282","140,1"
"Engenheiro Beltrão (PR)","PR","19","13.562","140,1"
"Bom Sucesso (PR)","PR","9","6.425","140,1"
"Caraúbas (RN)","RN","27","19.295","139,9"
"Uruçuí (PI)","PI","28","20.022","139,8"
"Califórnia (PR)","PR","11","7.867","139,8"
"Itambé (PE)","PE","49","35.082","139,7"
"Santa Maria do Pará (PA)","PA","32","22.919","139,6"
"Céu Azul (PR)","PR","15","10.747","139,6"
"Cururupu (MA)","MA","45","32.244","139,6"
"Jussara (GO)","GO","26","18.633","139,5"
"Tunas (RS)","RS","6","4.301","139,5"
"Riachão das Neves (BA)","BA","30","21.511","139,5"
"Cachoeira (BA)","BA","44","31.559","139,4"
"Jaru (RO)","RO","72","51.653","139,4"
"Diamantino (MT)","MT","28","20.108","139,2"
"Piraí do Sul (PR)","PR","32","22.994","139,2"
"Rio Tinto (PB)","PB","32","23.003","139,1"
"Água Branca (PB)","PB","13","9.345","139,1"
"Jaciara (MT)","MT","35","25.215","138,8"
"Teixeira Soares (PR)","PR","14","10.088","138,8"
"Araguatins (TO)","TO","43","30.987","138,8"
"Herveiras (RS)","RS","4","2.883","138,7"
"Augusto Corrêa (PA)","PA","56","40.374","138,7"
"Jataúba (PE)","PE","22","15.875","138,6"
"Mimoso do Sul (ES)","ES","35","25.276","138,5"
"Marmelópolis (MG)","MG","4","2.890","138,4"
"Missal (PR)","PR","14","10.117","138,4"
"Frei Gaspar (MG)","MG","8","5.782","138,4"
"Irituia (PA)","PA","43","31.080","138,4"
"Monte Alto (SP)","SP","63","45.551","138,3"
"Coronel Pacheco (MG)","MG","4","2.895","138,2"
"Euclides da Cunha (BA)","BA","77","55.741","138,1"
"Regeneração (PI)","PI","24","17.385","138,1"
"Cidade Gaúcha (PR)","PR","15","10.867","138,0"
"Maracaí (SP)","SP","18","13.047","138,0"
"Bom Jardim (RJ)","RJ","34","24.647","137,9"
"Frecheirinha (CE)","CE","18","13.049","137,9"
"Feira Nova (PE)","PE","28","20.302","137,9"
"Mundo Novo (MS)","MS","23","16.678","137,9"
"Nordestina (BA)","BA","17","12.334","137,8"
"Serrinha (RN)","RN","9","6.530","137,8"
"Monsenhor Gil (PI)","PI","14","10.160","137,8"
"Porto União (SC)","SC","45","32.661","137,8"
"São José do Peixe (PI)","PI","5","3.630","137,7"
"Tapejara (RS)","RS","26","18.878","137,7"
"Kaloré (PR)","PR","6","4.357","137,7"
"Cubati (PB)","PB","10","7.262","137,7"
"Poção (PE)","PE","15","10.897","137,7"
"Bonito (PE)","PE","51","37.067","137,6"
"Euclides da Cunha Paulista (SP)","SP","13","9.449","137,6"
"Laje do Muriaé (RJ)","RJ","10","7.270","137,6"
"São Gonçalo dos Campos (BA)","BA","45","32.755","137,4"
"Cortês (PE)","PE","17","12.375","137,4"
"Niquelândia (GO)","GO","57","41.497","137,4"
"Senador Amaral (MG)","MG","7","5.097","137,3"
"Goiás (GO)","GO","33","24.035","137,3"
"Nova Marilândia (MT)","MT","4","2.915","137,2"
"Dois Irmãos do Buriti (MS)","MS","14","10.203","137,2"
"Três Marias (MG)","MG","38","27.698","137,2"
"Dracena (SP)","SP","58","42.281","137,2"
"Saudades (SC)","SC","12","8.751","137,1"
"Formosa do Oeste (PR)","PR","10","7.295","137,1"
"Campos dos Goytacazes (RJ)","RJ","624","455.330","137,0"
"Itaipé (MG)","MG","16","11.688","136,9"
"Cunha Porã (SC)","SC","14","10.229","136,9"
"Victor Graeff (RS)","RS","4","2.924","136,8"
"Apuarema (BA)","BA","10","7.311","136,8"
"Inajá (PR)","PR","4","2.926","136,7"
"Juarina (TO)","TO","3","2.195","136,7"
"São Bento do Norte (RN)","RN","4","2.927","136,7"
"Carvalhos (MG)","MG","6","4.391","136,6"
"Serro (MG)","MG","28","20.508","136,5"
"Serranópolis (GO)","GO","10","7.325","136,5"
"Congonhinhas (PR)","PR","11","8.058","136,5"
"Anchieta (ES)","ES","32","23.444","136,5"
"Pontes e Lacerda (MT)","MT","56","41.076","136,3"
"Laje (BA)","BA","29","21.273","136,3"
"Saubara (BA)","BA","15","11.007","136,3"
"Xinguara (PA)","PA","55","40.375","136,2"
"Teixeiras (MG)","MG","15","11.014","136,2"
"Figueira (PR)","PR","11","8.077","136,2"
"Itaobim (MG)","MG","28","20.578","136,1"
"Malacacheta (MG)","MG","25","18.375","136,1"
"Severiano de Almeida (RS)","RS","5","3.675","136,1"
"Rio Pardo de Minas (MG)","MG","39","28.671","136,0"
"Paulo Jacinto (AL)","AL","10","7.354","136,0"
"São Joaquim da Barra (SP)","SP","62","45.699","135,7"
"Poranga (CE)","CE","16","11.801","135,6"
"Imbituva (PR)","PR","38","28.033","135,6"
"Lapão (BA)","BA","35","25.831","135,5"
"General Câmara (RS)","RS","11","8.120","135,5"
"João Lisboa (MA)","MA","32","23.651","135,3"
"Urutaí (GO)","GO","4","2.957","135,3"
"Serrinha dos Pintos (RN)","RN","6","4.436","135,3"
"Volta Redonda (RJ)","RJ","340","251.432","135,2"
"Primavera (PE)","PE","18","13.313","135,2"
"São Brás (AL)","AL","9","6.658","135,2"
"Alto Alegre (RR)","RR","22","16.276","135,2"
"Água Branca (PI)","PI","22","16.283","135,1"
"Campos Novos Paulista (SP)","SP","6","4.441","135,1"
"Pacaraima (RR)","RR","14","10.367","135,0"
"Vista Alegre do Prata (RS)","RS","2","1.481","135,0"
"Porto Amazonas (PR)","PR","6","4.445","135,0"
"Espírito Santo (RN)","RN","14","10.373","135,0"
"Porto Real (RJ)","RJ","22","16.313","134,9"
"Lindóia do Sul (SC)","SC","6","4.449","134,9"
"Campo do Meio (MG)","MG","15","11.129","134,8"
"Engenho Velho (RS)","RS","2","1.484","134,8"
"Montividiu (GO)","GO","14","10.391","134,7"
"Quatro Pontes (PR)","PR","5","3.712","134,7"
"Ernestina (RS)","RS","4","2.971","134,6"
"Nova Floresta (PB)","PB","14","10.412","134,5"
"Passos (MG)","MG","139","103.505","134,3"
"Esperantinópolis (MA)","MA","24","17.887","134,2"
"Glória de Dourados (MS)","MS","13","9.698","134,0"
"Cantagalo (PR)","PR","17","12.687","134,0"
"Mucugê (BA)","BA","14","10.455","133,9"
"Várzea da Palma (MG)","MG","47","35.116","133,8"
"Brochier (RS)","RS","6","4.490","133,6"
"São João da Serra (PI)","PI","8","5.987","133,6"
"Juazeiro do Piauí (PI)","PI","7","5.240","133,6"
"Capanema (PR)","PR","24","17.973","133,5"
"Giruá (RS)","RS","22","16.478","133,5"
"Guabiju (RS)","RS","2","1.498","133,5"
"Pau D'Arco (TO)","TO","6","4.495","133,5"
"Peruíbe (SP)","SP","78","58.456","133,4"
"Mandirituba (PR)","PR","29","21.735","133,4"
"Novo Alegre (TO)","TO","3","2.249","133,4"
"Santa Fé do Sul (SP)","SP","38","28.489","133,4"
"Agrestina (PE)","PE","30","22.493","133,4"
"Capela (AL)","AL","23","17.258","133,3"
"Caibi (SC)","SC","8","6.003","133,3"
"Coivaras (PI)","PI","5","3.753","133,2"
"Castro (PR)","PR","88","66.064","133,2"
"Milagres (CE)","CE","36","27.040","133,1"
"Dores de Campos (MG)","MG","12","9.014","133,1"
"São Bernardo (MA)","MA","35","26.292","133,1"
"Belém de Maria (PE)","PE","15","11.268","133,1"
"Pombal (PB)","PB","42","31.571","133,0"
"São Luiz do Norte (GO)","GO","6","4.513","132,9"
"Descanso (SC)","SC","11","8.274","132,9"
"Mata Roma (MA)","MA","20","15.057","132,8"
"Ferros (MG)","MG","14","10.557","132,6"
"Carmópolis de Minas (MG)","MG","22","16.600","132,5"
"Aurora do Pará (PA)","PA","35","26.425","132,5"
"Vargem Alta (ES)","ES","25","18.883","132,4"
"Italva (RJ)","RJ","18","13.601","132,3"
"Timbaúba dos Batistas (RN)","RN","3","2.270","132,2"
"Campo Belo (MG)","MG","66","49.944","132,1"
"Santo Antônio (RN)","RN","29","21.955","132,1"
"Bela Vista da Caroba (PR)","PR","5","3.787","132,0"
"Batalha (AL)","AL","22","16.673","131,9"
"Altinópolis (SP)","SP","20","15.158","131,9"
"Caraúbas (PB)","PB","5","3.790","131,9"
"Fronteira dos Vales (MG)","MG","6","4.549","131,9"
"Brasnorte (MT)","MT","20","15.176","131,8"
"Aquidabã (SE)","SE","26","19.743","131,7"
"Tupanci do Sul (RS)","RS","2","1.519","131,7"
"Lajeado Novo (MA)","MA","9","6.836","131,7"
"Ibaté (SP)","SP","40","30.438","131,4"
"Bom Sucesso (MG)","MG","22","16.751","131,3"
"São João Batista (SC)","SC","34","25.900","131,3"
"Mirador (PR)","PR","3","2.287","131,2"
"Britânia (GO)","GO","7","5.338","131,1"
"Serrita (PE)","PE","24","18.304","131,1"
"Santa Lúcia (PR)","PR","5","3.814","131,1"
"Santa Rita do Novo Destino (GO)","GO","4","3.052","131,1"
"Bilac (SP)","SP","9","6.867","131,1"
"São Sepé (RS)","RS","30","22.896","131,0"
"Ulianópolis (PA)","PA","57","43.516","131,0"
"Porto Franco (MA)","MA","28","21.389","130,9"
"Garibaldi (RS)","RS","39","29.808","130,8"
"Barbalha (CE)","CE","72","55.059","130,8"
"Guaraciaba (MG)","MG","13","9.942","130,8"
"Santa Inês (MA)","MA","108","82.597","130,8"
"Esmeralda (RS)","RS","4","3.060","130,7"
"Vale do Sol (RS)","RS","14","10.727","130,5"
"Jacaraú (PB)","PB","18","13.796","130,5"
"Colméia (TO)","TO","11","8.434","130,4"
"Campo Limpo de Goiás (GO)","GO","8","6.137","130,4"
"Belmonte (BA)","BA","28","21.482","130,3"
"Graça (CE)","CE","18","13.820","130,2"
"Nova Campina (SP)","SP","11","8.446","130,2"
"Pimenteiras (PI)","PI","15","11.521","130,2"
"Pindaí (BA)","BA","20","15.362","130,2"
"Candelária (RS)","RS","38","29.198","130,1"
"Rubiataba (GO)","GO","24","18.455","130,0"
"Lafaiete Coutinho (BA)","BA","5","3.845","130,0"
"Jardim (MS)","MS","31","23.870","129,9"
"Casimiro de Abreu (RJ)","RJ","45","34.650","129,9"
"Aguaí (SP)","SP","41","31.583","129,8"
"Campo Bom (RS)","RS","79","60.861","129,8"
"Planaltino (BA)","BA","11","8.488","129,6"
"Iaras (SP)","SP","8","6.174","129,6"
"Petrolina de Goiás (GO)","GO","13","10.033","129,6"
"Bom Jardim (MA)","MA","50","38.638","129,4"
"Araguacema (TO)","TO","8","6.186","129,3"
"Magda (SP)","SP","4","3.094","129,3"
"Salto do Jacuí (RS)","RS","15","11.607","129,2"
"Cerro Grande (RS)","RS","3","2.322","129,2"
"Santo Antônio de Goiás (GO)","GO","6","4.645","129,2"
"Acaraú (CE)","CE","73","56.534","129,1"
"Colina (SP)","SP","22","17.043","129,1"
"Mozarlândia (GO)","GO","17","13.171","129,1"
"Ituporanga (SC)","SC","28","21.698","129,0"
"Muricilândia (TO)","TO","4","3.100","129,0"
"Paquetá (PI)","PI","5","3.876","129,0"
"Ouricuri (PE)","PE","81","62.824","128,9"
"Cocal (PI)","PI","34","26.376","128,9"
"Linha Nova (RS)","RS","2","1.552","128,9"
"Cocalzinho de Goiás (GO)","GO","22","17.091","128,7"
"Cocal do Sul (SC)","SC","19","14.761","128,7"
"Iguatama (MG)","MG","10","7.774","128,6"
"Ivinhema (MS)","MS","28","21.770","128,6"
"Anitápolis (SC)","SC","4","3.110","128,6"
"Dom Eliseu (PA)","PA","66","51.318","128,6"
"Piranhas (GO)","GO","14","10.892","128,5"
"São Sebastião do Rio Preto (MG)","MG","2","1.557","128,5"
"Colíder (MT)","MT","39","30.363","128,4"
"Marliéria (MG)","MG","5","3.895","128,4"
"Guaratinguetá (SP)","SP","141","109.965","128,2"
"Brasilândia do Sul (PR)","PR","4","3.121","128,2"
"Ajuricaba (RS)","RS","9","7.024","128,1"
"Camapuã (MS)","MS","17","13.290","127,9"
"São Pedro do Turvo (SP)","SP","9","7.038","127,9"
"Cândido Godói (RS)","RS","8","6.257","127,9"
"Pirapora (MG)","MG","67","52.444","127,8"
"Capinzal (SC)","SC","26","20.352","127,8"
"Sagres (SP)","SP","3","2.352","127,6"
"Ibiracatu (MG)","MG","7","5.489","127,5"
"Porto Vitória (PR)","PR","5","3.922","127,5"
"Jaboticaba (RS)","RS","5","3.922","127,5"
"Saquarema (RJ)","RJ","92","72.169","127,5"
"Baturité (CE)","CE","42","32.953","127,5"
"São Paulo do Potengi (RN)","RN","20","15.699","127,4"
"Indiana (SP)","SP","6","4.710","127,4"
"Lençóis (BA)","BA","13","10.216","127,3"
"Rancharia (SP)","SP","36","28.319","127,1"
"Pedra Lavrada (PB)","PB","9","7.089","127,0"
"Pato Branco (PR)","PR","90","70.980","126,8"
"Campo Grande do Piauí (PI)","PI","7","5.524","126,7"
"Itaju (SP)","SP","4","3.157","126,7"
"São João da Barra (RJ)","RJ","40","31.583","126,7"
"Ritápolis (MG)","MG","6","4.738","126,6"
"Pereira Barreto (SP)","SP","31","24.496","126,6"
"Guararapes (SP)","SP","38","30.030","126,5"
"Xavantina (SC)","SC","5","3.952","126,5"
"Santa Cruz de Monte Castelo (PR)","PR","10","7.906","126,5"
"Carmo do Rio Claro (MG)","MG","25","19.781","126,4"
"Itaoca (SP)","SP","4","3.165","126,4"
"Olho d'Água das Flores (AL)","AL","26","20.587","126,3"
"Cachoeira Alta (GO)","GO","13","10.294","126,3"
"Barra de São Miguel (PB)","PB","7","5.544","126,3"
"Piranhas (AL)","AL","29","22.970","126,3"
"Braço do Norte (SC)","SC","36","28.516","126,2"
"Salinópolis (PA)","PA","47","37.241","126,2"
"Lavínia (SP)","SP","11","8.718","126,2"
"Salete (SC)","SC","9","7.139","126,1"
"Leme do Prado (MG)","MG","6","4.761","126,0"
"Piracanjuba (GO)","GO","29","23.012","126,0"
"Taperoá (PB)","PB","18","14.291","126,0"
"Estrela Dalva (MG)","MG","3","2.383","125,9"
"Campina do Simão (PR)","PR","5","3.973","125,8"
"Iguatu (CE)","CE","118","93.763","125,8"
"Atalanta (SC)","SC","4","3.181","125,7"
"Cruzeiro do Sul (RS)","RS","14","11.138","125,7"
"Seabra (BA)","BA","52","41.372","125,7"
"Cruzeiro do Oeste (PR)","PR","25","19.892","125,7"
"Floriano (PI)","PI","72","57.321","125,6"
"Araripina (PE)","PE","98","78.069","125,5"
"Curvelândia (MT)","MT","6","4.781","125,5"
"Patrocínio Paulista (SP)","SP","16","12.752","125,5"
"São Sebastião da Bela Vista (MG)","MG","6","4.784","125,4"
"Belo Campo (BA)","BA","22","17.544","125,4"
"Presidente Epitácio (SP)","SP","51","40.690","125,3"
"Confresa (MT)","MT","31","24.744","125,3"
"Canápolis (MG)","MG","14","11.176","125,3"
"Feliz (RS)","RS","15","11.983","125,2"
"Santa Rita de Minas (MG)","MG","8","6.391","125,2"
"Padre Bernardo (GO)","GO","34","27.173","125,1"
"Alagoinha do Piauí (PI)","PI","9","7.196","125,1"
"Mari (PB)","PB","26","20.801","125,0"
"Poá (SP)","SP","131","104.823","125,0"
"Pimenta (MG)","MG","10","8.004","124,9"
"Queimadas (PB)","PB","51","40.821","124,9"
"Cabeceiras (GO)","GO","9","7.208","124,9"
"Barreiras do Piauí (PI)","PI","4","3.204","124,8"
"Taiobeiras (MG)","MG","38","30.456","124,8"
"Itapiúna (CE)","CE","23","18.452","124,6"
"Santa Rita de Jacutinga (MG)","MG","6","4.815","124,6"
"Itapeva (SP)","SP","108","86.696","124,6"
"Taciba (SP)","SP","7","5.635","124,2"
"Cacaulândia (RO)","RO","7","5.638","124,2"
"Divinésia (MG)","MG","4","3.225","124,0"
"Junco do Maranhão (MA)","MA","6","4.843","123,9"
"Capela do Alto Alegre (BA)","BA","14","11.313","123,8"
"Bananeiras (PB)","PB","26","21.023","123,7"
"Barra do Rocha (BA)","BA","8","6.469","123,7"
"Três Rios (RJ)","RJ","93","75.204","123,7"
"Dom Pedro de Alcântara (RS)","RS","3","2.426","123,7"
"Santa Cecília (PB)","PB","8","6.471","123,6"
"Belterra (PA)","PA","20","16.181","123,6"
"Guaiçara (SP)","SP","13","10.525","123,5"
"Tocantins (MG)","MG","19","15.384","123,5"
"Capitão Leônidas Marques (PR)","PR","18","14.577","123,5"
"Arroio Grande (RS)","RS","22","17.822","123,4"
"Mangaratiba (RJ)","RJ","44","35.646","123,4"
"Campos Verdes (GO)","GO","6","4.861","123,4"
"Porto Mauá (RS)","RS","3","2.432","123,4"
