Categoria,N,R²_Média,R²_Std,R²_Mín,R²_Máx,MSE_Média,MSE_Std
Completo_Sem_Clustering,720,0.11360293929796063,0.002049406685011198,0.1089302372549988,0.1162638468077856,8.898196652024807e-07,2.057319965474695e-09
Completo_Com_Clustering,720,0.11398486006037972,0.002208651508259949,0.1089961080028266,0.1168538093090154,8.894362697468588e-07,2.2171796734888575e-09
Reduzido_Sem_Clustering,720,0.14620496285357162,0.006248138188897233,0.1306357848712871,0.1526531899293934,1.0270596056359153e-06,7.516101716514095e-09
Reduzido_Com_Clustering,720,0.14663585287597514,0.006488793296438944,0.130633550254927,0.1534263215541134,1.026541273112033e-06,7.805594076029496e-09
